Accession,Description,GeneName,Peptides.MTX,PSMs.MTX,AAs.MTX,MW.kDA.MTX,pI.MTX,QuantifyingPSMs.MTX,T37,T40,T43,T46,T49,T52,T55,T58,T61,T64
E7EWW0,UPF0505 protein C16orf62 OS=Homo sapiens GN=C16orf62 PE=4 SV=2,C16orf62,7,14,1052,118.537,7.84,7,0.996,0.981,0.931,0.838,0.560,0.325,0.211,0.142,0.118,0.109
E7EWW9,Glutathione S-transferase Mu 1 OS=Homo sapiens GN=GSTM1 PE=3 SV=1,GSTM1,6,12,237,27.599,6.7,2,0.996,0.996,0.936,0.843,0.714,0.434,0.262,0.157,0.111,0.093
E7EX17,Eukaryotic translation initiation factor 4B OS=Homo sapiens GN=EIF4B PE=4 SV=1,EIF4B,30,293,616,69.657,5.67,107,0.996,0.975,0.966,0.974,0.923,0.761,0.741,0.665,0.570,0.548
E7EX59,"Propionyl-CoA carboxylase beta chain, mitochondrial OS=Homo sapiens GN=PCCB PE=2 SV=1",PCCB,8,16,570,61.615,7.99,5,0.996,0.930,0.924,0.900,0.898,0.798,0.685,0.420,0.226,0.172
E7EX73,Eukaryotic translation initiation factor 4 gamma 1 OS=Homo sapiens GN=EIF4G1 PE=4 SV=1,EIF4G1,49,187,1436,158.547,5.21,62,0.996,1.001,0.894,0.668,0.409,0.310,0.174,0.127,0.102,0.086
E7EXA6,Chromosome transmission fidelity protein 18 homolog OS=Homo sapiens GN=CHTF18 PE=4 SV=1,CHTF18,4,8,1184,129.322,9.41,4,0.996,1.014,0.672,0.488,0.395,0.265,0.168,0.148,0.103,0.082
E9PAU2,Ribonucleoprotein PTB-binding 1 OS=Homo sapiens GN=RAVER1 PE=2 SV=1,RAVER1,17,58,756,79.529,8.92,22,0.996,1.005,0.864,0.458,0.321,0.198,0.164,0.106,0.094,0.088
E9PAV3,Nascent polypeptide-associated complex subunit alpha OS=Homo sapiens GN=NACA PE=4 SV=1,NACA,11,230,2078,205.295,9.58,78,0.996,0.997,0.975,0.997,0.866,0.714,0.638,0.560,0.491,0.515
E9PB61,THO complex subunit 4 OS=Homo sapiens GN=ALYREF PE=2 SV=1,ALYREF,10,58,264,27.541,11.05,28,0.996,1.018,1.056,0.997,0.895,0.706,0.433,0.253,0.157,0.110
E9PC62,CUGBP Elav-like family member 2 OS=Homo sapiens GN=CELF2 PE=4 SV=1,CELF2,8,17,521,55.696,8.6,7,0.996,1.056,0.949,0.797,0.571,0.368,0.222,0.178,0.149,0.150
E9PCR7,"2-oxoglutarate dehydrogenase, mitochondrial OS=Homo sapiens GN=OGDH PE=4 SV=1",OGDH,17,45,1038,117.59,6.92,16,0.996,0.911,0.973,0.898,0.524,0.300,0.160,0.095,0.088,0.072
E9PCT1,Serine/arginine repetitive matrix protein 1 OS=Homo sapiens GN=SRRM1 PE=2 SV=2,SRRM1,6,16,916,103.734,11.84,4,0.996,0.969,0.895,0.819,0.648,0.478,0.350,0.279,0.172,0.099
E9PDS3,Integrin alpha-9 OS=Homo sapiens GN=ITGA9 PE=2 SV=1,ITGA9,1,2,632,69.037,7.36,1,0.996,0.969,0.912,0.727,0.470,0.256,0.252,0.131,0.106,0.067
E9PEB5,Far upstream element-binding protein 1 OS=Homo sapiens GN=FUBP1 PE=4 SV=1,FUBP1,33,269,655,68.861,7.93,4,0.996,1.098,0.920,0.883,0.773,0.662,0.562,0.485,0.326,0.275
E9PEB9,Dystonin OS=Homo sapiens GN=DST PE=2 SV=2,DST,8,19,7750,880.011,5.35,3,0.996,0.900,0.997,0.916,0.957,0.740,0.780,0.641,0.329,0.214
E9PFW3,AP-2 complex subunit mu OS=Homo sapiens GN=AP2M1 PE=2 SV=1,AP2M1,13,53,460,52.27,9.5,19,0.996,0.973,0.994,0.901,0.857,0.644,0.417,0.231,0.143,0.099
E9PG82,Sorcin OS=Homo sapiens GN=SRI PE=4 SV=1,SRI,2,10,72,7.246,5.01,5,0.996,0.855,0.963,0.944,0.839,0.574,0.436,0.137,0.099,0.082
E9PGC8,MAP1 light chain LC2 OS=Homo sapiens GN=MAP1A PE=2 SV=1,MAP1A,72,209,3041,331.055,4.93,86,0.996,0.991,0.962,0.932,0.830,0.673,0.509,0.424,0.278,0.153
E9PJD7,Cysteine and histidine-rich protein 1 OS=Homo sapiens GN=CYHR1 PE=4 SV=1,CYHR1,6,18,404,43.785,6.76,9,0.996,1.021,0.913,0.942,0.837,0.680,0.444,0.317,0.174,0.121
E9PL17,Polyribonucleotide 5'-hydroxyl-kinase Clp1 OS=Homo sapiens GN=CLP1 PE=4 SV=1,CLP1,4,8,436,48.909,6.27,2,0.996,0.904,0.613,0.317,0.284,0.180,0.120,0.070,0.059,0.061
E9PLM6,Midkine OS=Homo sapiens GN=MDK PE=2 SV=1,MDK,4,11,156,16.915,9.91,6,0.996,1.064,1.147,1.025,0.993,0.679,0.492,0.183,0.115,0.111
E9PN76,RING finger protein 214 OS=Homo sapiens GN=RNF214 PE=4 SV=1,RNF214,14,30,513,57.535,7.64,2,0.996,0.952,0.920,0.734,0.561,0.268,0.139,0.087,0.079,0.086
E9PN81,Ribonuclease H2 subunit C OS=Homo sapiens GN=RNASEH2C PE=2 SV=1,RNASEH2C,4,8,247,26.286,6.37,4,0.996,1.023,0.953,0.722,0.351,0.262,0.127,0.079,0.076,0.073
E9PNP3,Mth938 domain-containing protein OS=Homo sapiens GN=AAMDC PE=4 SV=1,AAMDC,8,34,141,15.578,9.06,12,0.996,0.944,0.937,0.910,0.681,0.538,0.450,0.369,0.295,0.273
E9PNT4,Uncharacterized protein OS=Homo sapiens GN=ZNF585B PE=4 SV=1,ZNF585B,2,7,56,6.402,7.52,5,0.996,1.168,0.920,0.834,0.776,0.694,0.595,0.575,0.507,0.505
E9PQA6,Protein MVB12A OS=Homo sapiens GN=MVB12A PE=4 SV=1,MVB12A,3,9,273,28.685,9.64,4,0.996,1.056,0.929,0.722,0.314,0.186,0.064,0.047,0.056,0.055
E9PR17,CD59 glycoprotein OS=Homo sapiens GN=CD59 PE=4 SV=1,CD59,4,18,130,14.519,7.77,4,0.996,0.963,0.993,0.920,0.869,0.676,0.616,0.514,0.404,0.350
E9PR30,40S ribosomal protein S30 OS=Homo sapiens GN=FAU PE=2 SV=1,FAU,3,19,98,10.898,11.56,4,0.996,0.952,0.952,1.190,1.143,0.751,0.711,0.379,0.194,0.113
E9PRG8,Uncharacterized protein C11orf48 OS=Homo sapiens GN=C11orf48 PE=2 SV=1,C11orf48,2,4,122,13.79,11.69,2,0.996,1.049,1.060,1.039,0.950,0.728,0.559,0.387,0.251,0.132
E9PSH4,Repressor of RNA polymerase III transcription MAF1 homolog OS=Homo sapiens GN=MAF1 PE=4 SV=1,MAF1,2,4,286,31.952,4.73,2,0.996,0.958,0.818,0.534,0.272,0.170,0.081,0.048,0.061,0.058
F2Z2J1,Ribosomal protein S6 kinase OS=Homo sapiens GN=RPS6KA2 PE=2 SV=1,RPS6KA2,6,29,758,85.58,6.7,2,0.996,1.120,0.954,0.890,0.644,0.334,0.219,0.148,0.150,0.116
F2Z2W7,tRNA (uracil-5-)-methyltransferase homolog A OS=Homo sapiens GN=TRMT2A PE=4 SV=1,TRMT2A,30,85,643,70.79,8.05,31,0.996,0.985,0.839,0.595,0.409,0.299,0.178,0.128,0.095,0.078
F2Z2X4,Exportin-4 OS=Homo sapiens GN=XPO4 PE=2 SV=1,XPO4,14,27,1151,130.07,5.06,8,0.996,1.002,0.982,0.863,0.804,0.560,0.297,0.150,0.085,0.077
F5GWE5,Phosphatidylinositol transfer protein alpha isoform OS=Homo sapiens GN=PITPNA PE=2 SV=1,PITPNA,4,12,270,31.782,6.55,4,0.996,0.959,0.921,0.744,0.620,0.497,0.323,0.120,0.053,0.052
F5GWP8,Junction plakoglobin OS=Homo sapiens GN=JUP PE=3 SV=1,JUP,13,61,591,66.309,5.19,11,0.996,1.042,1.387,0.897,0.686,0.932,0.231,0.231,0.150,0.167
F5GXJ1,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens GN=NDUFS7 PE=3 SV=1",NDUFS7,1,2,236,25.367,9.89,1,0.996,0.940,0.922,0.795,0.683,0.633,0.418,0.315,0.165,0.162
F5GY05,Constitutive coactivator of peroxisome proliferator-activated receptor gamma OS=Homo sapiens GN=FAM120B PE=4 SV=1,FAM120B,13,26,933,106.048,5.87,9,0.996,1.032,0.893,0.809,0.478,0.337,0.184,0.124,0.081,0.089
F5GY88,Mediator of RNA polymerase II transcription subunit 24 OS=Homo sapiens GN=MED24 PE=4 SV=2,MED24,3,6,1008,112.109,7.03,1,0.996,0.993,0.886,0.870,0.700,0.507,0.275,0.176,0.113,0.088
F5GYQ1,V-type proton ATPase subunit d 1 OS=Homo sapiens GN=ATP6V0D1 PE=2 SV=1,ATP6V0D1,3,6,392,44.631,5.14,3,0.996,1.048,0.976,0.887,0.702,0.502,0.328,0.221,0.168,0.125
F5H039,Molybdopterin molybdenumtransferase OS=Homo sapiens GN=GPHN PE=4 SV=1,GPHN,25,62,782,84.681,5.73,28,0.996,0.975,0.972,0.944,0.847,0.692,0.624,0.469,0.344,0.145
F5H0R1,Speckle targeted PIP5K1A-regulated poly(A) polymerase OS=Homo sapiens GN=TUT1 PE=4 SV=1,TUT1,2,12,912,98.374,6.43,4,0.996,1.113,0.787,0.417,0.332,0.236,0.145,0.090,0.069,0.056
F5H189,LYR motif-containing protein 4 OS=Homo sapiens GN=LYRM4 PE=2 SV=1,LYRM4,3,13,130,15.185,10.4,4,0.996,0.973,1.012,1.039,1.077,0.796,0.632,0.250,0.150,0.120
F5H1Y4,Golgi-associated PDZ and coiled-coil motif-containing protein OS=Homo sapiens GN=GOPC PE=4 SV=1,GOPC,6,14,462,50.553,6.23,6,0.996,0.955,0.790,0.443,0.308,0.205,0.113,0.066,0.064,0.062
F5H269,DmX-like protein 1 OS=Homo sapiens GN=DMXL1 PE=2 SV=1,DMXL1,6,11,3048,340.029,6.3,6,0.996,0.978,0.946,0.970,0.884,0.801,0.823,0.701,0.575,0.500
F5H2X7,Cip1-interacting zinc finger protein OS=Homo sapiens GN=CIZ1 PE=2 SV=1,CIZ1,15,38,924,102.897,6.23,15,0.996,0.984,0.915,0.878,0.780,0.586,0.460,0.337,0.269,0.207
F5H5D3,Tubulin alpha-1C chain OS=Homo sapiens GN=TUBA1C PE=2 SV=1,TUBA1C,31,1082,519,57.693,5.07,147,0.996,0.996,0.998,0.955,0.853,0.691,0.530,0.339,0.154,0.090
F5H5P2,Uncharacterized protein OS=Homo sapiens PE=4 SV=1,-,3,6,479,54.169,6.43,2,0.996,0.937,1.116,0.943,0.872,0.371,0.225,0.200,0.103,0.079
F5H6I0,Beta-2-microglobulin OS=Homo sapiens GN=B2M PE=2 SV=1,B2M,4,16,122,13.963,7.44,8,0.996,0.901,1.015,0.882,0.689,0.439,0.343,0.215,0.163,0.144
F5H7W8,Uncharacterized protein C12orf43 OS=Homo sapiens GN=C12orf43 PE=4 SV=1,C12orf43,6,11,263,28.62,9.73,5,0.996,1.064,1.091,1.122,1.320,1.005,0.946,0.741,0.607,0.580
F6S8M0,N-acetylglucosamine-6-sulfatase OS=Homo sapiens GN=GNS PE=4 SV=1,GNS,16,84,584,65.668,7.97,31,0.996,0.955,0.959,0.958,0.928,0.727,0.687,0.596,0.424,0.339
F6XEV2,"Calcium uptake protein 1, mitochondrial OS=Homo sapiens GN=MICU1 PE=2 SV=1",MICU1,2,4,478,54.516,8.53,1,0.996,1.069,0.946,0.931,0.727,0.554,0.417,0.276,0.242,0.256
F6XY72,Nucleoside diphosphate kinase OS=Homo sapiens GN=NME2 PE=3 SV=1,NME2,11,131,77,8.663,5.39,15,0.996,0.966,1.064,0.982,1.004,0.820,0.839,0.744,0.574,0.603
F6XZQ7,Glutathione S-transferase Mu 2 OS=Homo sapiens GN=GSTM2 PE=3 SV=1,GSTM2,8,20,220,26.081,5.54,6,0.996,1.003,0.944,0.952,0.826,0.473,0.308,0.157,0.101,0.075
F8VQZ7,Methionine aminopeptidase OS=Homo sapiens GN=METAP2 PE=2 SV=1,METAP2,26,179,477,52.787,5.82,2,0.996,0.934,0.973,0.952,0.914,0.669,0.662,0.539,0.428,0.419
F8VVA7,Coatomer subunit zeta-1 OS=Homo sapiens GN=COPZ1 PE=4 SV=1,COPZ1,6,26,198,22.326,4.89,12,0.996,1.086,0.979,0.907,0.716,0.546,0.325,0.202,0.167,0.144
F8VWL3,"FYVE, RhoGEF and PH domain-containing protein 4 OS=Homo sapiens GN=FGD4 PE=4 SV=1",FGD4,2,6,903,100.941,7.12,3,0.996,1.034,1.084,0.707,0.787,0.621,0.637,0.283,0.287,0.116
F8VXC8,SWI/SNF complex subunit SMARCC2 OS=Homo sapiens GN=SMARCC2 PE=4 SV=1,SMARCC2,48,170,1245,136.1,5.71,44,0.996,0.956,0.837,0.545,0.315,0.187,0.115,0.069,0.065,0.061
F8VXU5,Vacuolar protein sorting-associated protein 29 OS=Homo sapiens GN=VPS29 PE=4 SV=1,VPS29,10,64,214,23.965,8.18,25,0.996,0.929,0.996,0.977,0.967,0.765,0.659,0.321,0.184,0.112
F8VYN9,ADP-ribosylation factor-like protein 1 OS=Homo sapiens GN=ARL1 PE=3 SV=1,ARL1,3,10,194,21.764,6.77,4,0.996,1.009,0.904,0.926,0.626,0.357,0.255,0.155,0.121,0.091
F8W727,60S ribosomal protein L32 OS=Homo sapiens GN=RPL32 PE=2 SV=1,RPL32,2,28,153,17.951,10.59,12,0.996,1.006,1.087,1.430,1.405,1.040,0.842,0.450,0.178,0.075
F8W7A7,Coiled-coil domain-containing protein 178 OS=Homo sapiens GN=CCDC178 PE=4 SV=1,CCDC178,2,10,891,104.556,6.77,4,0.996,1.072,0.963,0.714,0.565,0.379,0.232,0.216,0.183,0.153
F8W7C6,60S ribosomal protein L10 OS=Homo sapiens GN=RPL10 PE=4 SV=1,RPL10,12,92,163,18.58,9.95,23,0.996,1.090,1.090,1.219,1.133,0.966,0.673,0.392,0.171,0.126
F8W8D3,Histone RNA hairpin-binding protein OS=Homo sapiens GN=SLBP PE=2 SV=1,SLBP,6,16,277,32.075,7.47,8,0.996,1.063,0.883,0.745,0.515,0.375,0.269,0.223,0.151,0.161
F8W930,Insulin-like growth factor 2 mRNA-binding protein 2 OS=Homo sapiens GN=IGF2BP2 PE=4 SV=1,IGF2BP2,10,33,605,66.745,8.46,3,0.996,1.138,1.035,0.804,0.519,0.398,0.193,0.136,0.091,0.106
F8WDD0,Biorientation of chromosomes in cell division protein 1-like 1 OS=Homo sapiens GN=BOD1L1 PE=4 SV=1,BOD1L1,3,6,93,9.188,5.83,2,0.996,1.083,0.959,0.786,0.735,0.606,0.380,0.317,0.267,0.222
F8WE65,Peptidyl-prolyl cis-trans isomerase OS=Homo sapiens GN=PPIA PE=2 SV=1,PPIA,14,686,120,13.013,6.77,89,0.996,0.974,0.981,0.943,0.710,0.388,0.179,0.103,0.087,0.085
G3V119,DBIRD complex subunit KIAA1967 OS=Homo sapiens GN=KIAA1967 PE=4 SV=1,KIAA1967,26,112,598,67.235,4.75,27,0.996,0.974,0.821,0.537,0.345,0.222,0.113,0.087,0.083,0.089
G3V180,Dipeptidyl peptidase 3 OS=Homo sapiens GN=DPP3 PE=4 SV=1,DPP3,25,108,757,84.324,5.03,45,0.996,0.975,0.940,0.919,0.779,0.522,0.250,0.150,0.107,0.105
G3V1L9,"Tight junction protein 1 (Zona occludens 1), isoform CRA_a OS=Homo sapiens GN=TJP1 PE=2 SV=1",TJP1,32,86,1768,197.339,6.67,34,0.996,1.018,0.988,0.889,0.630,0.447,0.290,0.209,0.150,0.110
G3V1V0,Myosin light polypeptide 6 OS=Homo sapiens GN=MYL6 PE=4 SV=1,MYL6,16,120,161,18.026,4.77,36,0.996,0.990,0.930,0.846,0.640,0.409,0.263,0.171,0.143,0.146
G3V1V4,"Family with sequence similarity 112, member B, isoform CRA_b OS=Homo sapiens GN=GTSF1 PE=4 SV=1",GTSF1,11,54,176,20.318,6.13,22,0.996,1.011,1.012,0.934,0.913,0.725,0.663,0.509,0.459,0.385
G3V2F7,HCG2044781 OS=Homo sapiens GN=TMEM189 PE=4 SV=1,TMEM189,12,131,370,42.181,6.71,15,0.996,1.016,0.916,0.918,0.817,0.760,0.576,0.361,0.180,0.136
G3V2U7,Acylphosphatase OS=Homo sapiens GN=ACYP1 PE=3 SV=1,ACYP1,6,28,129,14.116,9.7,10,0.996,0.960,0.993,0.933,0.845,0.618,0.386,0.196,0.155,0.108
G3V3A4,SNW domain-containing protein 1 OS=Homo sapiens GN=SNW1 PE=2 SV=1,SNW1,19,72,571,65.351,9.67,32,0.996,0.947,1.003,1.004,0.909,0.689,0.615,0.473,0.307,0.201
G3V3G9,DDB1- and CUL4-associated factor 8 OS=Homo sapiens GN=DCAF8 PE=4 SV=1,DCAF8,12,53,751,84.7,5.12,3,0.996,0.935,0.877,0.817,0.746,0.523,0.327,0.218,0.124,0.119
G3V4K3,Spermatogenesis-defective protein 39 homolog OS=Homo sapiens GN=VIPAS39 PE=4 SV=1,VIPAS39,5,9,519,59.682,8.1,4,0.996,1.096,0.982,0.842,0.582,0.427,0.325,0.248,0.189,0.133
G3V4T6,Maleylacetoacetate isomerase OS=Homo sapiens GN=GSTZ1 PE=3 SV=1,GSTZ1,6,22,217,24.217,7.18,9,0.996,0.943,0.973,0.941,0.947,0.713,0.571,0.192,0.089,0.066
G3V5T9,Cyclin-dependent kinase 2 OS=Homo sapiens GN=CDK2 PE=4 SV=1,CDK2,23,127,346,39.153,8.62,37,0.996,0.980,0.966,0.906,0.814,0.590,0.422,0.283,0.187,0.138
G3V5Z7,Proteasome subunit alpha type OS=Homo sapiens GN=PSMA6 PE=3 SV=1,PSMA6,22,230,252,28.129,6.76,89,0.996,0.998,0.982,0.942,0.888,0.760,0.676,0.597,0.534,0.516
G3XAH0,"HCG2002594, isoform CRA_c OS=Homo sapiens GN=SEPT5 PE=3 SV=1",SEPT5,18,105,378,43.817,6.67,4,0.996,0.930,0.957,0.936,0.924,0.725,0.531,0.333,0.246,0.177
G3XAI2,Laminin subunit beta-1 OS=Homo sapiens GN=LAMB1 PE=4 SV=1,LAMB1,3,6,1810,200.347,4.96,3,0.996,1.039,0.867,0.842,0.716,0.690,0.518,0.466,0.337,0.217
G5E948,Mitogen-activated protein kinase kinase kinase kinase 4 OS=Homo sapiens GN=MAP4K4 PE=4 SV=1,MAP4K4,17,47,1320,150.991,7.58,11,0.996,1.028,1.007,0.879,0.698,0.387,0.251,0.121,0.065,0.062
G5E971,Collagenase 3 OS=Homo sapiens GN=MMP13 PE=4 SV=1,MMP13,2,8,489,55.767,5.97,4,0.996,0.966,0.993,0.939,1.000,0.807,0.659,0.344,0.205,0.125
G5E975,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1, isoform CRA_c OS=Homo sapiens GN=SMARCB1 PE=4 SV=1",SMARCB1,7,22,394,45.022,5.76,9,0.996,0.925,0.817,0.473,0.328,0.190,0.151,0.095,0.077,0.069
G5EA09,"Syndecan binding protein (Syntenin), isoform CRA_a OS=Homo sapiens GN=SDCBP PE=4 SV=1",SDCBP,4,23,318,34.797,8.51,5,0.996,1.069,1.043,0.978,0.836,0.616,0.393,0.199,0.152,0.089
G5EA30,"CUG triplet repeat, RNA binding protein 1, isoform CRA_c OS=Homo sapiens GN=CELF1 PE=2 SV=1",CELF1,12,40,514,55.107,8.38,10,0.996,1.020,0.888,0.615,0.361,0.288,0.183,0.161,0.133,0.137
G8JLB6,Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens GN=HNRNPH1 PE=2 SV=1,HNRNPH1,21,297,472,51.197,6.8,78,0.996,0.989,0.851,0.545,0.327,0.219,0.130,0.088,0.074,0.068
G8JLK1,Vesicle transport protein USE1 OS=Homo sapiens GN=USE1 PE=4 SV=1,USE1,1,2,259,29.351,9.07,1,0.996,1.031,1.383,1.019,0.838,0.756,0.576,0.783,0.528,0.234
H0YKD8,60S ribosomal protein L28 OS=Homo sapiens GN=RPL28 PE=2 SV=1,RPL28,8,66,170,19.06,11.46,26,0.996,1.031,1.160,1.348,1.289,1.037,0.751,0.398,0.142,0.098
H0YL70,Transducin-like enhancer protein 3 OS=Homo sapiens GN=TLE3 PE=2 SV=1,TLE3,9,24,782,84.425,7.27,12,0.996,0.974,0.939,0.900,0.773,0.621,0.437,0.278,0.151,0.117
H0YMC0,Uncharacterized protein C15orf57 OS=Homo sapiens GN=C15orf57 PE=2 SV=1,C15orf57,2,8,203,22.84,5.24,4,0.996,1.031,1.033,0.952,0.796,0.615,0.450,0.367,0.397,0.447
H0YMV8,40S ribosomal protein S27 OS=Homo sapiens GN=RPS27L PE=2 SV=1,RPS27L,6,96,100,11.338,9.32,5,0.996,0.958,1.051,1.042,0.932,0.624,0.488,0.240,0.135,0.094
H3BLZ8,Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens GN=DDX17 PE=3 SV=1,DDX17,43,200,731,80.389,8.37,30,0.996,0.974,0.978,0.866,0.483,0.255,0.123,0.074,0.073,0.067
H3BM74,NEDD8 ultimate buster 1 OS=Homo sapiens GN=NUB1 PE=4 SV=1,NUB1,12,34,639,73.296,6.57,15,0.996,0.932,0.784,0.504,0.382,0.239,0.172,0.097,0.094,0.097
H3BMD8,cAMP-regulated phosphoprotein 19 OS=Homo sapiens GN=ARPP19 PE=4 SV=1,ARPP19,6,71,131,14.475,8.31,9,0.996,0.990,0.934,0.839,0.852,0.746,0.611,0.536,0.448,0.400
H3BND4,Pyridoxal-dependent decarboxylase domain-containing protein 1 OS=Homo sapiens GN=PDXDC1 PE=3 SV=1,PDXDC1,8,24,806,88.706,5.48,12,0.996,1.028,0.874,0.598,0.474,0.329,0.203,0.149,0.110,0.101
H3BNX8,"Cytochrome c oxidase subunit 5A, mitochondrial OS=Homo sapiens GN=COX5A PE=4 SV=1",COX5A,4,12,153,17.224,6,6,0.996,1.000,0.946,0.872,0.813,0.791,0.624,0.505,0.454,0.476
H3BP13,Trafficking protein particle complex subunit 2-like protein OS=Homo sapiens GN=TRAPPC2L PE=4 SV=1,TRAPPC2L,4,8,241,27.285,8.51,3,0.996,0.835,0.875,0.830,0.568,0.297,0.216,0.126,0.104,0.088
H3BP20,Beta-hexosaminidase OS=Homo sapiens GN=HEXA PE=2 SV=1,HEXA,15,52,540,61.96,5.21,19,0.996,0.991,0.933,0.943,0.937,0.740,0.670,0.487,0.210,0.165
H3BPE7,RNA-binding protein FUS OS=Homo sapiens GN=FUS PE=4 SV=1,FUS,12,204,527,53.465,9.36,61,0.996,0.979,0.994,0.893,0.750,0.546,0.417,0.282,0.233,0.224
H3BQK9,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 OS=Homo sapiens GN=MACF1 PE=4 SV=1",MACF1,133,332,7592,860.543,5.38,123,0.996,1.008,0.939,0.845,0.522,0.290,0.175,0.107,0.101,0.084
H3BS01,Uncharacterized protein C15orf41 OS=Homo sapiens GN=C15orf41 PE=4 SV=1,C15orf41,1,2,287,32.9,6.62,1,0.996,1.102,1.080,0.779,0.548,0.409,0.222,0.104,0.097,0.111
H3BSS5,BTB/POZ domain-containing protein KCTD5 OS=Homo sapiens GN=KCTD5 PE=4 SV=1,KCTD5,5,8,246,27.109,8.43,3,0.996,0.920,0.931,0.891,0.824,0.594,0.537,0.512,0.352,0.261
H3BSW6,Cytoplasmic tRNA 2-thiolation protein 2 OS=Homo sapiens GN=CTU2 PE=4 SV=1,CTU2,10,30,586,63.641,7.01,13,0.996,0.972,0.929,0.857,0.722,0.498,0.287,0.180,0.136,0.101
H3BVG0,Nuclear pore complex protein Nup93 OS=Homo sapiens GN=NUP93 PE=4 SV=1,NUP93,40,146,880,99.492,5.73,53,0.996,0.989,0.897,0.682,0.505,0.324,0.176,0.117,0.088,0.085
H7BXH9,Protein N-lysine methyltransferase METTL21A OS=Homo sapiens GN=METTL21A PE=2 SV=1,METTL21A,1,2,236,26.6,6.68,1,0.996,0.786,0.839,0.784,0.739,0.514,0.462,0.331,0.165,0.121
H7BY58,Protein-L-isoaspartate O-methyltransferase OS=Homo sapiens GN=PCMT1 PE=3 SV=1,PCMT1,14,129,286,30.339,6.73,40,0.996,0.965,0.978,0.960,0.912,0.646,0.297,0.149,0.077,0.059
H7BYJ1,E3 ubiquitin-protein ligase RNF34 OS=Homo sapiens GN=RNF34 PE=2 SV=1,RNF34,4,8,507,56.833,5.29,3,0.996,1.122,0.942,0.927,0.659,0.429,0.338,0.214,0.111,0.115
H7BYY1,"Tropomyosin 1 (Alpha), isoform CRA_m OS=Homo sapiens GN=TPM1 PE=2 SV=1",TPM1,14,221,248,28.73,4.82,8,0.996,0.997,0.948,0.895,0.790,0.662,0.647,0.527,0.457,0.483
H7BYZ3,Calcineurin subunit B type 1 OS=Homo sapiens GN=PPP3R1 PE=4 SV=1,PPP3R1,6,20,331,36.854,8.34,9,0.996,0.965,0.907,0.883,0.747,0.607,0.488,0.331,0.254,0.246
H7BZ08,Coiled-coil domain-containing protein 138 OS=Homo sapiens GN=CCDC138 PE=2 SV=1,CCDC138,1,3,104,11.731,8.57,2,0.996,1.002,0.907,0.863,0.687,0.460,0.318,0.215,0.116,0.083
H7C2I1,Protein arginine N-methyltransferase 1 OS=Homo sapiens GN=PRMT1 PE=4 SV=1,PRMT1,24,188,371,42.434,5.35,73,0.996,0.988,0.975,0.945,0.861,0.604,0.188,0.072,0.058,0.052
H7C2Q8,"EBNA1 binding protein 2, isoform CRA_d OS=Homo sapiens GN=EBNA1BP2 PE=4 SV=1",EBNA1BP2,7,20,361,40.659,9.98,4,0.996,1.070,1.157,1.102,0.803,0.552,0.246,0.145,0.104,0.100
H9KV28,Protein diaphanous homolog 1 OS=Homo sapiens GN=DIAPH1 PE=4 SV=1,DIAPH1,63,262,1273,141.481,5.47,105,0.996,1.020,0.967,0.804,0.443,0.285,0.162,0.103,0.092,0.077
I3L0E3,"28S ribosomal protein S17, mitochondrial OS=Homo sapiens GN=MRPS17 PE=2 SV=1",MRPS17,3,6,225,25.704,6.07,3,0.996,0.935,0.909,0.783,0.622,0.426,0.183,0.054,0.096,0.068
I3L1Y9,FLYWCH family member 2 OS=Homo sapiens GN=FLYWCH2 PE=4 SV=1,FLYWCH2,6,18,144,15.594,10.21,8,0.996,1.025,0.988,0.927,0.835,0.709,0.595,0.544,0.462,0.449
I3L2B0,Clustered mitochondria protein homolog OS=Homo sapiens GN=CLUH PE=2 SV=1,CLUH,23,52,769,85.471,5.47,3,0.996,1.042,0.755,0.551,0.292,0.159,0.079,0.037,0.037,0.034
I3L2J0,Protein capicua homolog OS=Homo sapiens GN=CIC PE=4 SV=1,CIC,1,2,2514,257.591,8.1,1,0.996,0.970,0.748,0.548,0.409,0.270,0.308,0.332,0.249,0.166
I3L4Q0,"HCG1818442, isoform CRA_a OS=Homo sapiens GN=FAM195B PE=4 SV=1",FAM195B,6,24,118,12.943,9.63,8,0.996,1.044,1.010,0.947,0.802,0.717,0.480,0.391,0.297,0.304
I3L504,Eukaryotic translation initiation factor 5A-1 OS=Homo sapiens GN=EIF5A PE=4 SV=1,EIF5A,12,159,186,20.49,5.25,67,0.996,0.954,0.951,0.828,0.545,0.323,0.201,0.134,0.118,0.108
J3KMX3,Alpha-fetoprotein OS=Homo sapiens GN=AFP PE=4 SV=1,AFP,4,18,622,70.404,5.55,8,0.996,0.970,0.944,0.955,0.974,0.763,0.723,0.640,0.502,0.458
J3KMZ8,Zinc finger protein ubi-d4 OS=Homo sapiens GN=DPF2 PE=2 SV=1,DPF2,18,67,405,45.751,6.98,26,0.996,0.981,0.872,0.604,0.463,0.329,0.235,0.173,0.143,0.119
